Date,Category,Payment Mode,Description,Amount Paid,Cashback
2024-01-04,Food,UPI,Everyone control.,2178.45,0.0
2024-01-06,Food,Credit Card,Also long past.,2900.79,0.0
2024-01-05,Groceries,UPI,Evening truth.,1825.0,0.0
2024-01-11,Bills,Cash,Per suddenly rest.,1932.06,52.39
2024-01-11,Gifts,Cash,Commercial wrong.,707.14,0.0
2024-01-08,Transportation,Wallet,Character nice.,1981.18,0.0
2024-01-12,Bills,Debit Card,World stage entire.,1113.44,0.0
2024-01-23,Groceries,UPI,Trip your including.,199.39,0.0
2024-01-15,Entertainment,UPI,Itself couple foot.,351.08,0.0
2024-01-09,Food,Debit Card,Material card term.,3326.64,76.36
2024-01-24,Bills,UPI,Must time evening.,2898.1,0.0
2024-01-10,Groceries,Debit Card,Crime address.,3688.99,0.0
2024-01-02,Subscriptions,Debit Card,Serve film must.,3289.63,0.0
2024-01-02,Gifts,Credit Card,I bar which kid.,1851.02,9.25
2024-01-23,Groceries,Credit Card,Perhaps animal tree.,2662.61,0.0
2024-01-25,Entertainment,Credit Card,Time would week.,358.1,16.92
2024-01-19,Bills,Wallet,Write staff six off.,3934.47,0.0
2024-01-20,Gifts,UPI,Behavior collection.,2263.82,0.0
2024-01-18,Groceries,Cash,Compare old public.,2132.55,189.39
2024-01-11,Subscriptions,Credit Card,Piece research no.,2056.55,0.0
2024-01-14,Bills,Wallet,I fight operation.,959.82,0.0
2024-01-19,Gifts,Debit Card,Somebody figure.,838.1,0.0
2024-01-12,Food,Wallet,General least the.,4793.67,0.0
2024-01-25,Transportation,Credit Card,Admit national good.,4953.1,0.0
2024-01-24,Transportation,Cash,Require throw.,755.36,0.0
2024-01-06,Groceries,Credit Card,Name cold watch.,342.51,0.0
2024-01-14,Food,UPI,Ability record.,4793.83,0.0
2024-01-13,Food,Debit Card,Draw moment add.,4018.2,240.28
2024-01-10,Food,Cash,Government wrong.,3867.97,0.0
2024-01-06,Gifts,Credit Card,Development.,2691.43,97.71
2024-01-04,Transportation,UPI,What after today.,4327.29,0.0
2024-01-18,Gifts,Wallet,Growth wall study.,3355.4,0.0
2024-01-06,Entertainment,UPI,Heart could.,2683.17,0.0
2024-01-23,Transportation,Wallet,Test man early gas.,1234.72,0.0
2024-01-07,Groceries,Debit Card,Collection great.,1261.63,0.0
2024-01-11,Transportation,UPI,Stuff next value.,1302.79,41.81
2024-01-27,Bills,Credit Card,Show stock reveal.,1920.99,158.03
2024-01-02,Bills,Cash,Get study wall work.,1871.39,0.0
2024-01-27,Transportation,Wallet,Best seem have.,188.59,0.0
2024-01-21,Transportation,Cash,Ok management heart.,3932.6,0.0
2024-01-20,Food,Credit Card,Machine such.,4446.59,0.0
2024-01-20,Subscriptions,UPI,Save drug radio.,499.24,0.0
2024-01-16,Food,Wallet,Improve yes service.,1613.27,0.0
2024-01-22,Food,Credit Card,Community foreign.,4928.53,0.0
2024-01-15,Gifts,Wallet,Far determine role.,4010.1,0.0
2024-01-20,Subscriptions,Wallet,Lose work name day.,1406.94,0.0
2024-01-10,Gifts,Wallet,Land word attorney.,2097.65,0.0
2024-01-20,Subscriptions,Credit Card,Knowledge speech.,4178.45,387.41
2024-01-01,Food,UPI,Black surface him.,2410.21,0.0
2024-01-05,Transportation,UPI,Set sell peace yard.,1526.83,0.0
2024-01-24,Bills,Credit Card,Eight serious.,293.77,0.0
2024-01-07,Gifts,Cash,Ready shoulder.,1690.7,17.22
2024-01-01,Food,Debit Card,Foreign check.,1669.1,151.31
2024-01-26,Entertainment,Credit Card,According forward.,3773.4,0.0
2024-01-14,Entertainment,Debit Card,And may crime.,4317.48,0.0
2024-01-07,Entertainment,Debit Card,Today continue.,1085.42,0.0
2024-01-07,Transportation,Credit Card,Building media.,3144.94,0.0
2024-01-01,Bills,Wallet,Behavior some long.,3598.59,0.0
2024-01-22,Transportation,Credit Card,Across character.,4604.05,0.0
2024-01-24,Gifts,Debit Card,When for upon sit.,3072.52,281.29
2024-01-05,Gifts,Debit Card,Pull relationship.,3190.38,0.0
2024-01-20,Transportation,Cash,Seem authority.,3155.2,0.0
2024-01-07,Transportation,Cash,Scientist customer.,2691.32,0.0
2024-01-10,Subscriptions,UPI,Model development.,3986.59,0.0
2024-01-04,Subscriptions,Cash,Pressure near.,2054.13,0.0
2024-01-02,Entertainment,Debit Card,Rather between.,2734.86,0.0
2024-01-07,Bills,Credit Card,Happen challenge.,3280.48,0.0
2024-01-04,Subscriptions,Credit Card,Issue low away.,3544.93,0.0
2024-01-14,Groceries,Cash,Understand service.,778.37,30.08
2024-01-19,Gifts,Cash,Memory how stage.,3905.5,0.0
2024-01-26,Food,Debit Card,Box other door.,1010.77,0.0
2024-01-26,Gifts,Debit Card,Soldier similar.,1598.16,0.0
2024-01-17,Food,UPI,Activity west.,2715.74,0.0
2024-01-07,Food,Cash,Policy number.,3850.41,0.0
2024-01-18,Bills,Cash,Father couple.,2774.17,221.19
2024-01-21,Bills,Credit Card,Occur focus thank.,4040.22,0.0
2024-01-18,Transportation,UPI,Direction item.,1943.88,0.0
2024-01-24,Food,Credit Card,Reveal decade would.,3005.62,0.0
2024-01-05,Gifts,Cash,Several house win.,4315.44,0.0
2024-01-04,Gifts,Debit Card,Professional show.,3185.78,0.0
2024-01-16,Gifts,UPI,Medical keep.,1394.25,80.85
2024-01-21,Groceries,Debit Card,American police.,126.59,0.0
2024-01-07,Groceries,Wallet,Page anything seem.,714.08,0.0
2024-01-03,Gifts,Cash,Fire woman capital.,1119.25,0.0
2024-01-19,Subscriptions,UPI,Same stuff rule.,262.94,0.0
2024-01-21,Gifts,Wallet,Finish reality.,4688.47,175.65
2024-01-04,Food,Credit Card,Itself the than.,3741.07,0.0
2024-01-25,Entertainment,UPI,Someone ok feeling.,3326.35,0.0
2024-01-24,Entertainment,Cash,Stock response.,3641.35,0.0
2024-01-14,Transportation,Debit Card,Share seem away.,1488.24,145.51
2024-01-07,Subscriptions,Wallet,Public consider.,1221.08,38.09
2024-01-14,Gifts,Wallet,Side human street.,4468.12,298.08
2024-01-06,Food,Cash,Paper history.,1887.1,0.0
2024-01-18,Entertainment,Credit Card,Perhaps will issue.,2288.76,0.0
2024-01-13,Entertainment,Cash,Service must radio.,1233.2,0.0
2024-01-11,Entertainment,UPI,Assume nation house.,869.87,12.29
2024-01-06,Gifts,Credit Card,Room must condition.,3440.62,23.32
2024-01-08,Gifts,UPI,Police success.,1783.21,0.0
2024-01-20,Transportation,Debit Card,She speech movement.,4174.14,0.0
2024-01-05,Gifts,Credit Card,Just group exactly.,2547.9,0.0
2024-01-21,Transportation,Credit Card,Difference cultural.,4372.1,39.67
2024-01-09,Gifts,Cash,Large realize level.,1000.53,0.0
2024-01-18,Groceries,Credit Card,Night measure.,4230.36,0.0
2024-01-09,Gifts,UPI,Assume goal TV.,2736.3,0.0
2024-01-25,Gifts,Wallet,Evidence message.,1546.1,38.69
2024-01-20,Bills,Credit Card,Born bar true least.,357.93,0.0
2024-01-05,Groceries,Cash,Bill financial.,3976.92,0.0
2024-01-04,Entertainment,Cash,Stop participant.,3109.18,0.0
2024-01-06,Transportation,Cash,Home short else.,4570.43,0.0
2024-01-02,Subscriptions,UPI,Us remember film.,3222.3,0.0
2024-01-23,Gifts,Cash,Mr development.,2922.78,0.0
2024-01-04,Subscriptions,UPI,Race continue.,2840.54,0.0
2024-01-27,Gifts,Cash,Child film bad.,2999.73,226.42
2024-01-02,Subscriptions,Wallet,While part music.,2026.39,168.95
2024-01-05,Transportation,Wallet,Far risk among.,2899.07,0.0
2024-01-22,Food,Cash,Him heart response.,4030.72,0.0
2024-01-24,Groceries,Debit Card,Impact medical.,2413.36,61.67
2024-01-14,Entertainment,Debit Card,Conference would.,3459.79,0.0
2024-01-11,Gifts,Debit Card,Church painting.,4971.93,0.0
2024-01-22,Bills,Cash,Treatment military.,2095.14,10.21
2024-01-20,Groceries,UPI,Task TV wonder turn.,4018.52,0.0
2024-01-10,Groceries,UPI,Discussion another.,3448.58,0.0
2024-01-03,Entertainment,Wallet,Simple leader bring.,3139.86,280.53
2024-01-02,Bills,UPI,Possible floor job.,4156.36,0.0
2024-01-27,Groceries,UPI,Them several they.,4776.16,344.0
2024-01-07,Gifts,Credit Card,East ten hope bed.,876.49,0.0
2024-01-19,Food,Credit Card,Behavior response.,2346.96,0.0
2024-01-07,Bills,UPI,Skin attorney.,2328.79,0.0
2024-01-01,Bills,UPI,Them pressure.,1913.59,0.0
2024-01-15,Food,Credit Card,Night director.,2742.5,52.43
2024-01-08,Bills,Wallet,Your simply light.,112.27,6.44
2024-01-04,Entertainment,Cash,Information occur.,1958.94,188.35
2024-01-20,Groceries,Cash,Some collection.,964.29,24.78
2024-01-07,Food,Wallet,Campaign whether.,632.27,0.0
2024-01-25,Transportation,Cash,Perhaps scientist.,3355.76,0.0
2024-01-09,Food,Debit Card,Experience once now.,3025.6,25.59
2024-01-10,Bills,Credit Card,Least phone key.,405.59,5.24
2024-01-22,Food,Wallet,Economic write.,446.35,37.75
2024-01-07,Transportation,Wallet,Dinner population.,3114.52,0.0
2024-01-02,Gifts,Debit Card,Discussion pay.,377.15,0.0
2024-01-01,Bills,Debit Card,Certainly car.,2024.07,0.0
2024-01-27,Subscriptions,Credit Card,Site democratic.,4336.68,0.0
2024-01-09,Transportation,Credit Card,Woman newspaper.,533.1,0.0
2024-01-06,Gifts,UPI,Meeting matter.,4753.65,0.0
2024-01-10,Groceries,Wallet,Certainly week.,3568.53,0.0
2024-01-16,Transportation,Cash,Manage road over.,1029.1,0.0
2024-01-08,Bills,Debit Card,Soldier kind all.,3677.9,0.0
2024-01-20,Groceries,Cash,Everything enough.,3323.19,214.32
2024-01-19,Entertainment,Credit Card,Message American.,2615.75,0.0
2024-01-21,Transportation,Cash,Break them stuff.,4241.65,0.0
2024-01-13,Gifts,UPI,Community town.,2761.7,0.0
2024-01-09,Groceries,Cash,Author success.,3883.33,306.95
2024-01-25,Gifts,Credit Card,Skill participant.,4391.73,0.0
2024-01-06,Subscriptions,UPI,His enough seem she.,1191.95,0.0
2024-01-26,Subscriptions,Credit Card,Guy our care song.,2636.89,86.48
2024-01-08,Food,Debit Card,Describe design guy.,4811.9,391.5
2024-01-13,Gifts,Credit Card,Miss too sell land.,221.07,0.0
2024-01-08,Groceries,Wallet,What much arm.,1662.53,0.0
2024-01-03,Entertainment,UPI,World investment.,2137.21,0.0
2024-01-18,Transportation,Wallet,Become television.,4030.1,0.0
2024-01-17,Transportation,Debit Card,Might myself out.,3813.95,0.0
2024-01-09,Groceries,Wallet,Important with bill.,2682.87,0.0
2024-01-23,Entertainment,UPI,Talk chair or would.,4891.03,0.0
2024-01-17,Food,Wallet,Family million.,3165.51,0.0
2024-01-12,Groceries,Cash,Since instead.,3479.3,82.67
2024-01-17,Subscriptions,Credit Card,Wall admit.,1218.6,0.0
2024-01-02,Food,Credit Card,Ever more civil.,982.7,67.67
2024-01-27,Food,Cash,Do side detail dark.,2308.09,0.0
2024-01-16,Transportation,Cash,Structure much sing.,2839.74,0.0
2024-01-27,Subscriptions,Wallet,Western and truth.,4759.32,0.0
2024-01-21,Food,UPI,Give news meet seem.,2366.08,0.0
2024-01-09,Transportation,UPI,Within heart blood.,3689.0,0.0
2024-01-01,Subscriptions,Cash,Can knowledge.,619.06,0.0
2024-01-05,Transportation,Wallet,Less adult think no.,2023.08,0.0
2024-01-22,Gifts,Wallet,Show yard could do.,2167.2,0.0
2024-01-19,Groceries,UPI,Continue own play.,3274.65,0.0
2024-01-14,Food,UPI,It present pick.,125.54,0.0
2024-01-14,Transportation,Debit Card,Hot different paper.,4827.69,305.95
2024-01-08,Transportation,Credit Card,Kitchen program out.,2714.81,0.0
2024-01-24,Food,UPI,Usually radio.,4975.46,0.0
2024-01-18,Bills,Credit Card,Dark fast strategy.,2232.94,0.0
2024-01-10,Subscriptions,Credit Card,Scientist actually.,2255.36,0.0
2024-01-06,Transportation,Credit Card,Style stage require.,578.46,0.0
2024-01-22,Subscriptions,Debit Card,Challenge nice.,1105.3,20.35
2024-01-11,Groceries,UPI,Above environment.,3083.71,0.0
2024-01-19,Bills,Debit Card,Side relationship.,2849.22,248.37
2024-01-26,Entertainment,UPI,Miss drop growth.,1633.04,0.0
2024-01-19,Bills,Cash,Energy memory.,3778.85,0.0
2024-01-21,Gifts,UPI,Question take kind.,147.2,14.14
2024-01-24,Groceries,Debit Card,Item positive.,2635.57,0.0
2024-01-12,Food,UPI,Sell pretty.,2116.28,0.0
2024-01-21,Subscriptions,Debit Card,Well control.,3621.49,299.23
2024-01-15,Groceries,Wallet,Blue stage focus.,4389.21,0.0
2024-01-18,Gifts,Cash,Form company life.,2725.93,0.0
2024-01-20,Subscriptions,UPI,While face family.,2959.21,0.0
2024-01-08,Food,Wallet,Trial he teacher.,1573.81,47.83
2024-01-09,Food,Credit Card,Spring you whom.,1741.01,0.0
2024-01-16,Groceries,Wallet,Claim realize skill.,401.15,0.0
2024-01-09,Entertainment,Credit Card,Table him record.,2462.54,0.0
2024-01-10,Entertainment,Debit Card,Maybe who feeling.,207.39,2.65
2024-01-10,Groceries,UPI,Face treat stop.,3915.68,126.23
2024-01-05,Gifts,UPI,Various region.,1241.51,0.0
2024-01-01,Groceries,Credit Card,Down across drive.,2058.91,116.67
2024-01-18,Groceries,Wallet,Live peace.,4118.88,346.85
2024-01-04,Transportation,Wallet,None magazine.,3744.7,0.0
2024-01-13,Food,Wallet,Mouth they mission.,2484.99,0.0
2024-01-17,Transportation,Cash,Inside suggest.,3183.6,0.0
2024-01-07,Bills,Wallet,Left ever girl life.,3573.49,0.0
2024-01-01,Subscriptions,Credit Card,Pay character fire.,3384.08,0.0
2024-01-13,Bills,Credit Card,Look the table bad.,1442.93,0.0
2024-01-10,Entertainment,Wallet,Third ok.,598.08,0.0
2024-01-10,Entertainment,Cash,Respond must.,2014.25,0.0
2024-01-22,Groceries,UPI,Shoulder decade.,2597.69,0.0
2024-01-18,Gifts,Wallet,Its necessary.,1575.85,0.0
2024-01-19,Entertainment,Cash,Federal finish good.,2612.84,0.0
2024-01-18,Entertainment,Debit Card,Catch subject.,993.51,0.0
2024-01-22,Transportation,Wallet,Enter mission start.,1309.28,0.0
2024-01-09,Food,Credit Card,Watch out national.,741.1,0.0
2024-01-03,Subscriptions,Debit Card,Add agreement happy.,3533.2,0.0
2024-01-26,Food,Debit Card,Deal wait north.,1847.23,0.0
2024-01-25,Subscriptions,UPI,Specific picture.,1977.19,0.0
2024-01-23,Gifts,Cash,Hot brother.,273.55,0.0
2024-01-01,Groceries,Wallet,Require quality.,1686.61,43.93
2024-01-21,Bills,Cash,Nearly receive cut.,4741.01,0.0
2024-01-09,Subscriptions,Wallet,Design record lose.,2624.35,0.0
2024-01-19,Bills,Cash,Middle economy.,432.19,0.0
2024-01-22,Bills,Wallet,Article party sense.,2568.88,0.0
2024-01-17,Transportation,Wallet,Remember believe.,1347.94,78.38
2024-01-01,Gifts,Wallet,Pretty especially.,4516.11,139.46
2024-01-11,Gifts,UPI,Onto real by water.,4520.73,0.0
2024-01-08,Transportation,UPI,New politics power.,4595.41,0.0
2024-01-22,Entertainment,Cash,Two our blood heart.,1495.42,0.0
2024-01-20,Food,UPI,Student career how.,2925.11,141.99
2024-01-20,Transportation,Debit Card,Main necessary.,3842.45,249.89
2024-01-05,Groceries,UPI,Charge often enjoy.,4201.48,0.0
2024-01-03,Subscriptions,Wallet,Light spend whether.,2760.63,103.67
2024-01-21,Bills,Debit Card,Record oil region.,4064.43,68.62
2024-01-09,Food,UPI,House might letter.,4629.26,0.0
2024-01-26,Food,Credit Card,Think every black.,2448.22,26.06
2024-01-08,Transportation,Wallet,Who walk collection.,3034.13,0.0
2024-01-21,Subscriptions,Debit Card,Among road.,979.38,0.0
2024-01-08,Gifts,Credit Card,Industry fire.,2165.33,0.0
2024-01-03,Gifts,Credit Card,List teach.,220.36,0.0
2024-01-22,Bills,Cash,Bring education.,1764.78,0.0
2024-02-05,Entertainment,Credit Card,Member nor site.,3157.23,0.0
2024-02-07,Bills,Cash,Report see over.,3845.5,0.0
2024-02-23,Entertainment,UPI,Win we wind career.,1456.37,0.0
2024-02-16,Entertainment,Wallet,Letter likely.,553.55,0.0
2024-02-16,Groceries,Debit Card,Follow theory.,4234.31,0.0
2024-02-05,Entertainment,UPI,Evidence return.,3567.65,110.48
2024-02-06,Bills,Debit Card,Meet economic lot.,1831.2,0.0
2024-02-14,Gifts,UPI,Important arrive.,2473.4,0.0
2024-02-25,Bills,Credit Card,Girl term type such.,4745.23,0.0
2024-02-12,Food,UPI,Federal soldier.,3446.6,0.0
2024-02-02,Subscriptions,Debit Card,Popular language.,4933.9,0.0
2024-02-21,Groceries,Credit Card,Stop affect message.,2530.34,0.0
2024-02-01,Subscriptions,Debit Card,Writer very.,1466.01,0.0
2024-02-14,Gifts,Debit Card,Check identify.,3439.86,0.0
2024-02-21,Subscriptions,Cash,Design million.,3848.0,0.0
2024-02-25,Entertainment,Cash,Land power bring.,1045.89,0.0
2024-02-21,Entertainment,UPI,Position somebody.,4754.78,0.0
2024-02-03,Groceries,Cash,My memory while.,2203.49,0.0
2024-02-10,Subscriptions,Cash,Rock since.,1937.2,102.05
2024-02-08,Transportation,Cash,Half experience.,4467.3,0.0
2024-02-02,Bills,UPI,Evening eight type.,4539.5,0.0
2024-02-23,Transportation,Credit Card,Street so point.,2794.86,0.0
2024-02-15,Groceries,Cash,Baby involve course.,708.42,14.04
2024-02-01,Subscriptions,Cash,Prevent too herself.,4004.72,0.0
2024-02-16,Bills,UPI,Me successful look.,2014.37,0.0
2024-02-11,Transportation,UPI,Mission little.,4660.21,0.0
2024-02-09,Groceries,Credit Card,Direction form.,1830.48,174.08
2024-02-22,Food,UPI,Republican speech.,1278.73,0.0
2024-02-24,Groceries,Debit Card,Represent she.,2478.83,27.16
2024-02-08,Gifts,Wallet,Hear should sure.,4687.26,0.0
2024-02-19,Gifts,UPI,Hour election.,4226.59,319.02
2024-02-03,Gifts,Cash,Despite cost.,4824.5,0.0
2024-02-03,Bills,Wallet,Million kitchen.,1360.95,41.14
2024-02-07,Bills,Wallet,Phone top air.,3627.07,0.0
2024-02-06,Subscriptions,UPI,Worry former boy.,338.65,3.36
2024-02-16,Subscriptions,Wallet,Media way cold.,2973.05,0.0
2024-02-11,Food,Cash,Break very night.,4109.69,211.0
2024-02-04,Bills,Cash,Special ahead.,2740.42,0.0
2024-02-14,Food,Cash,Free bring away.,3456.78,0.0
2024-02-03,Food,Debit Card,Among challenge.,3946.32,0.0
2024-02-15,Transportation,Credit Card,Idea by person.,511.33,0.0
2024-02-01,Gifts,Credit Card,Spring around bar.,1697.33,0.0
2024-02-20,Groceries,Debit Card,South word very.,876.05,0.0
2024-02-25,Entertainment,Wallet,Beyond treat.,3315.67,0.0
2024-02-08,Transportation,UPI,Join two loss.,1862.63,0.0
2024-02-22,Food,Wallet,Everybody thought.,3861.45,269.02
2024-02-07,Entertainment,Cash,Building offer half.,4494.33,0.0
2024-02-13,Groceries,Wallet,Cultural thus never.,998.19,0.0
2024-02-21,Transportation,UPI,Single apply.,532.11,0.0
2024-02-13,Entertainment,UPI,Present night.,4663.77,0.0
2024-02-08,Food,UPI,Meeting detail.,272.06,0.0
2024-02-13,Gifts,Credit Card,Second then money.,4441.0,0.0
2024-02-09,Groceries,Cash,Book general few.,1621.43,0.0
2024-02-10,Food,UPI,Would fall that.,4060.75,0.0
2024-02-10,Gifts,UPI,Others the this.,4485.4,0.0
2024-02-17,Groceries,Debit Card,Within central.,1504.27,89.43
2024-02-18,Subscriptions,UPI,Behavior catch drug.,3666.72,49.63
2024-02-20,Transportation,Credit Card,Often Mr real enjoy.,615.65,0.0
2024-02-09,Food,Cash,Such under its.,1535.04,125.17
2024-02-05,Food,Credit Card,Option white toward.,2563.82,0.0
2024-02-09,Entertainment,Cash,Position agency lay.,4137.4,0.0
2024-02-16,Bills,Wallet,Similar degree.,2656.07,0.0
2024-02-15,Groceries,Credit Card,Tax friend great.,1995.6,0.0
2024-02-07,Entertainment,UPI,Evening game.,2898.28,0.0
2024-02-27,Food,Debit Card,Out oil pass those.,2580.45,0.0
2024-02-12,Groceries,Cash,Morning family.,3288.17,0.0
2024-02-12,Groceries,UPI,Those yeah about.,4078.99,0.0
2024-02-13,Transportation,Debit Card,Must head training.,302.34,10.39
2024-02-08,Food,Credit Card,Kitchen tonight.,3182.23,0.0
2024-02-06,Groceries,UPI,Group community.,1537.52,0.0
2024-02-06,Food,Cash,Approach language.,2830.52,0.0
2024-02-01,Groceries,Cash,Father member issue.,1980.13,0.0
2024-02-14,Bills,Wallet,Play add up head.,3147.91,0.0
2024-02-24,Food,Cash,Happen item picture.,2372.09,0.0
2024-02-04,Entertainment,Wallet,Point notice common.,4998.05,398.53
2024-02-25,Bills,Credit Card,Question keep.,789.72,0.0
2024-02-23,Entertainment,Credit Card,Night treatment as.,4765.73,0.0
2024-02-15,Groceries,Debit Card,Minute authority.,3534.89,115.3
2024-02-15,Transportation,Cash,Woman hotel.,642.5,0.0
2024-02-27,Transportation,UPI,Continue interview.,731.3,0.0
2024-02-13,Bills,UPI,Individual.,3982.05,0.0
2024-02-25,Groceries,Credit Card,Sea fall our well.,1877.33,0.0
2024-02-19,Subscriptions,Wallet,Environment fund.,1137.25,0.0
2024-02-27,Bills,Credit Card,Important anyone.,1993.22,0.0
2024-02-19,Bills,Wallet,Civil low arm.,266.45,0.0
2024-02-08,Entertainment,UPI,Class low history.,302.03,0.0
2024-02-05,Transportation,Debit Card,Give along food.,3646.15,0.0
2024-02-11,Food,Debit Card,Name voice wall.,2633.64,0.0
2024-02-09,Transportation,Wallet,Decision blue east.,4178.28,117.74
2024-02-04,Gifts,Debit Card,Something race.,647.67,14.03
2024-02-16,Entertainment,Debit Card,Book seat yes rest.,1763.43,0.0
2024-02-13,Food,Wallet,May product ask.,861.68,0.0
2024-02-08,Food,Debit Card,Pass property.,3213.9,0.0
2024-02-07,Subscriptions,Debit Card,Effort family wind.,2185.69,0.0
2024-02-01,Groceries,Cash,Quite into sort.,3818.33,0.0
2024-02-15,Subscriptions,Credit Card,Open model long.,3291.51,258.03
2024-02-18,Food,Credit Card,Response keep.,4262.77,0.0
2024-02-24,Subscriptions,Debit Card,Drop security.,1470.33,0.0
2024-02-18,Bills,Debit Card,Plan effect field.,195.91,0.0
2024-02-14,Groceries,UPI,Sport institution.,312.27,27.38
2024-03-25,Entertainment,UPI,President will help.,459.23,0.0
2024-03-27,Entertainment,Credit Card,Issue order speak.,4458.55,0.0
2024-03-06,Bills,Cash,Which technology.,1103.52,0.0
2024-03-10,Transportation,UPI,Body happen else.,3589.58,0.0
2024-03-07,Groceries,Debit Card,Process exist.,3152.21,0.0
2024-03-03,Bills,Debit Card,May speech bed.,3629.51,0.0
2024-03-01,Groceries,Debit Card,Sell group fall.,978.48,0.0
2024-03-05,Entertainment,Debit Card,Military half base.,3159.18,0.0
2024-03-18,Gifts,Debit Card,Star why answer.,2529.32,211.34
2024-03-15,Gifts,Cash,Put else simply.,3910.86,0.0
2024-03-22,Bills,Wallet,Participant watch.,4884.0,0.0
2024-03-03,Food,Credit Card,Face who sense back.,4818.24,10.58
2024-03-18,Entertainment,Debit Card,Why size fall.,668.19,0.0
2024-03-03,Food,Credit Card,Blood force join.,4450.68,0.0
2024-03-07,Food,Debit Card,Between play bring.,1153.97,0.0
2024-03-15,Subscriptions,Wallet,Many star be edge.,1429.38,0.0
2024-03-14,Gifts,UPI,We movie along kind.,2645.79,0.0
2024-03-11,Transportation,UPI,Sister partner.,4450.96,0.0
2024-03-22,Subscriptions,Wallet,Generation member.,4403.34,0.0
2024-03-01,Subscriptions,UPI,Blood beyond.,300.95,0.0
2024-03-10,Groceries,Cash,Make deal school.,1196.6,0.0
2024-03-13,Food,Credit Card,My management.,2245.71,135.92
2024-03-16,Bills,Debit Card,After forward quite.,3760.56,0.0
2024-03-17,Bills,Credit Card,To whole type test.,4882.57,0.0
